Issue Type,Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Improvement,MYFACES-3895,12716038,,Missed space character in ViewExpiredException getMessage(),lu4242,volkovd,Trivial,Closed,Fixed,22/May/14 10:22,22/Sep/14 15:25,
Sub-task,MYFACES-3788,12670779,12499347,Improve log message in RendererUtils.getClientId with component location,markoc50,markoc50,Trivial,Closed,Fixed,26/Sep/13 17:24,26/Oct/13 15:33,
Improvement,MYFACES-3787,12670769,,Make WRAP_SCRIPT_CONTENT_WITH_XML_COMMENT_TAG=false default,lu4242,markoc50,Trivial,Closed,Fixed,26/Sep/13 16:54,26/Oct/13 15:33,
Sub-task,MYFACES-3506,12547084,12499347,"Improve exception handling for ""duplicate id ""id"" found""",markoc50,markoc50,Trivial,Closed,Fixed,19/Mar/12 20:55,22/Oct/13 16:01,
Improvement,MYFACES-3745,12662016,,No need to set FACELET_CONTEXT_KEY in DefaultFaceletContext constructor,lu4242,paul.nicolucci,Trivial,Closed,Fixed,06/Aug/13 02:53,22/Oct/13 15:59,
Bug,MYFACES-3697,12633207,,Error while parsing Facelet-Lib hides the real reason when logging ,lofwyr,lofwyr,Trivial,Closed,Fixed,20/Feb/13 15:08,18/Oct/13 20:20,
Bug,MYFACES-3724,12647916,,"MyFaces 2.x : HtmlSelectManyListbox does not work, if value points Hibernate-managed collection (i.e. PersistentBag)",lu4242,alsha,Trivial,Closed,Not A Problem,16/May/13 08:49,25/Jun/13 13:27,
Bug,MYFACES-3705,12636982,,"Concurrency ""feature"" in FaceletCacheImpl",lu4242,paci,Trivial,Closed,Fixed,14/Mar/13 08:15,29/May/13 18:25,
Improvement,MYFACES-3713,12644031,,[perf] use getFacetCount() when possible and avoid create iterator instances,lu4242,lu4242,Trivial,Closed,Fixed,23/Apr/13 00:58,29/May/13 18:25,
Improvement,MYFACES-3712,12643937,,"[perf] UILeaf.setId() does not require the valid id check, because it is always generated by facelets",lu4242,lu4242,Trivial,Closed,Fixed,22/Apr/13 14:28,29/May/13 18:25,
Bug,MYFACES-3627,12612024,,jsf.js: DomExperimental.js isMultipartCandidate fails on older IE Versions,,werpu,Trivial,Closed,Fixed,16/Oct/12 12:50,20/Nov/12 23:44,
Improvement,MYFACES-3573,12595243,,Log only once unified EL / bean validation presence,lu4242,lu4242,Trivial,Closed,Fixed,20/Jun/12 09:52,04/Sep/12 23:01,
Improvement,MYFACES-3576,12596079,,[perf] use get() over eval() for UIViewRoot.getViewId(),lu4242,lu4242,Trivial,Closed,Fixed,27/Jun/12 12:43,04/Sep/12 23:01,
Bug,MYFACES-3597,12605109,,Wrong message indicating ri or myfaces in the classpath,lu4242,lu4242,Trivial,Closed,Fixed,27/Aug/12 18:07,04/Sep/12 23:01,
Improvement,MYFACES-3505,12546962,,[perf] DefaultFaceletContext : use same StringBuilder instance for prefix and uniqueId,markoc50,markoc50,Trivial,Closed,Fixed,18/Mar/12 18:45,13/Jun/12 13:51,
Sub-task,MYFACES-3501,12546280,12499347,Remove unncecessary exception wrapping,markoc50,markoc50,Trivial,Closed,Fixed,13/Mar/12 19:49,13/Jun/12 13:51,
Sub-task,MYFACES-3503,12546910,12499347,Improve exception handling for f:setPropertyActionListener and EL coercion,markoc50,markoc50,Trivial,Closed,Fixed,17/Mar/12 18:25,13/Jun/12 13:51,
Bug,MYFACES-3540,12554165,,org.apache.myfaces.HANDLE_STATE_CACHING_MECHANICS = false results in client side state saving,lu4242,mheinen,Trivial,Closed,Not A Problem,07/May/12 13:38,31/May/12 12:54,
Improvement,MYFACES-3478,12544132,,[perf] Replace HashSet with EnumSet for VisitHints,markoc50,markoc50,Trivial,Closed,Fixed,25/Feb/12 18:37,03/Apr/12 18:39,
Improvement,MYFACES-3473,12543394,,[perf] Avoid unnecessary _ComponentChildrenList instances - improve HtmlRenderer.getChildren,lu4242,markoc50,Trivial,Closed,Fixed,20/Feb/12 20:03,03/Apr/12 18:39,
Improvement,MYFACES-3475,12544045,,[perf] Improve performance of HtmlResponseWriterImpl constructor,markoc50,markoc50,Trivial,Closed,Fixed,24/Feb/12 20:07,03/Apr/12 18:39,
Sub-task,MYFACES-3467,12542914,12506434,[PERF] Use index-based loop where possible - part II,markoc50,markoc50,Trivial,Closed,Fixed,16/Feb/12 19:58,03/Apr/12 18:39,
New Feature,MYFACES-3468,12543250,,[PERF] Avoid unnecessary _ComponentFacetMap instances,markoc50,markoc50,Trivial,Closed,Fixed,19/Feb/12 13:49,03/Apr/12 18:39,
Improvement,MYFACES-3479,12544134,,[perf] Remove END_LINK_OUTCOME_AS_SPAN from HtmlLinkRendererBase,lu4242,markoc50,Trivial,Closed,Fixed,25/Feb/12 18:52,03/Apr/12 18:39,
Improvement,MYFACES-3471,12543262,,[PERF] Do not call setRendererType(null) in constructors,lu4242,markoc50,Trivial,Closed,Not A Problem,19/Feb/12 16:50,05/Mar/12 19:40,
Improvement,MYFACES-3452,12539904,,Log managed bean creation in LifecycleProvider instances with finest level,lu4242,lu4242,Trivial,Closed,Fixed,26/Jan/12 14:48,06/Feb/12 23:22,
Improvement,MYFACES-3424,12535509,,call popComponentFromEL from right instance when broadcast,lu4242,lu4242,Trivial,Closed,Fixed,16/Dec/11 21:22,06/Feb/12 23:22,
Improvement,MYFACES-3266,12518064,,[perf] [concurrency] check correct logger creation,lu4242,markoc50,Trivial,Closed,Fixed,05/Aug/11 18:30,06/Feb/12 23:22,
Sub-task,MYFACES-3437,12536836,12506434,[PERF] Use index-based loop where possible,markoc50,markoc50,Trivial,Closed,Fixed,02/Jan/12 20:48,06/Feb/12 23:22,
Improvement,MYFACES-3432,12536430,,[perf] [mem] UIViewRoot.saveState(FacesContext) unnecessary saves empty view scope,markoc50,markoc50,Trivial,Closed,Fixed,27/Dec/11 18:43,06/Feb/12 23:22,
Bug,MYFACES-3409,12532793,,jsf.js: small performance bug in XHR1.js,,werpu,Trivial,Closed,Fixed,26/Nov/11 15:50,30/Nov/11 19:04,
Bug,MYFACES-3343,12525572,,f:convertNumber in jsp only accept Locale instance into its locale attribute,lu4242,lu4242,Trivial,Closed,Fixed,03/Oct/11 19:52,16/Nov/11 01:22,
Bug,MYFACES-2143,12413930,,decodeURIComponent incorrectly decodes '+',,piersh,Trivial,Closed,Cannot Reproduce,03/Feb/09 19:38,23/Oct/11 02:25,
Improvement,MYFACES-3153,12507922,,s/ServiceLoaderFinder/ServiceProviderFinder/g in ServiceProviderFinderFactory javadoc,lu4242,mbenson,Trivial,Closed,Fixed,20/May/11 20:00,23/Aug/11 02:36,
Sub-task,MYFACES-3197,12512201,12499347,exception from UIInput.updateModel is logged 2x,markoc50,markoc50,Trivial,Closed,Fixed,29/Jun/11 11:16,23/Aug/11 02:36,
Bug,MYFACES-3171,12509933,,jsf.js: wrong api call in _ListenerQueue.remove,,werpu,Trivial,Closed,Fixed,11/Jun/11 21:33,23/Aug/11 02:36,
Sub-task,MYFACES-3193,12511684,12499347,Unwrap exception in ErrorPageWriter.handleThrowable,lu4242,markoc50,Trivial,Closed,Fixed,27/Jun/11 19:59,23/Aug/11 02:36,
Improvement,MYFACES-3194,12511687,,trivial improvements to procedural commentary in FacesServlet.service(),lu4242,mbenson,Trivial,Closed,Fixed,27/Jun/11 20:17,23/Aug/11 02:36,
Wish,MYFACES-3225,12514180,,myfaces 2.1.1 AjaxHandler$AjaxBehaviorListenerImpl,lu4242,imcharsi,Trivial,Closed,Fixed,15/Jul/11 08:55,23/Aug/11 02:36,
Sub-task,MYFACES-3241,12515420,12499347,RendererUtils.getPathToComponent : output Location in view,markoc50,markoc50,Trivial,Closed,Fixed,26/Jul/11 15:52,23/Aug/11 02:36,
Bug,MYFACES-3253,12515944,,Unable to build current trunk because of missing artifact,lu4242,oli,Trivial,Closed,Fixed,01/Aug/11 18:45,01/Aug/11 19:05,
Bug,MYFACES-3244,12515504,,ContentTypeList does not contain a supported content type: text/css,lu4242,gerdogdu,Trivial,Closed,Duplicate,27/Jul/11 09:50,28/Jul/11 18:15,
Improvement,MYFACES-3148,12507270,,"Log ""PanelGrid ... has not enough children""  with Level.FINE in Production",markoc50,markoc50,Trivial,Closed,Fixed,15/May/11 15:03,24/May/11 13:46,
Bug,MYFACES-3142,12507044,,h:outputScript and h:outputStylesheet renderer listeners cannot implement PartialStateHolder,lu4242,lu4242,Trivial,Closed,Fixed,12/May/11 21:13,24/May/11 13:46,
Bug,MYFACES-3107,12504077,,FacesConfigurator doesn't recognize Tobago,lofwyr,lofwyr,Trivial,Closed,Fixed,12/Apr/11 16:48,24/May/11 13:46,
Improvement,MYFACES-3127,12506313,,Output a warning if selectOne/Many renders no selected item,markoc50,markoc50,Trivial,Open,,05/May/11 17:25,05/May/11 17:25,06/May/11 00:00
Bug,MYFACES-2987,12491789,,jsfcomponents archetype should specify web-app version 2.5 to enable unified EL,jakobkorherr,jakobkorherr,Trivial,Closed,Fixed,01/Dec/10 17:08,18/Feb/11 03:50,
Task,MYFACES-2943,12477587,,DefaultLifecycleProviderFactory does not log LifecycleProvider Class correctly,jakobkorherr,jakobkorherr,Trivial,Closed,Fixed,17/Oct/10 22:49,14/Dec/10 01:00,
Improvement,MYFACES-2224,12424706,,Misleading hint in error message for NFE in BigDecimalConverter,lu4242,vmasch,Trivial,Closed,Fixed,06/May/09 14:28,14/Dec/10 01:00,
Bug,MYFACES-2917,12473972,,misspelt in Messages_es.properties,lu4242,rubengvera,Trivial,Closed,Fixed,13/Sep/10 11:53,16/Sep/10 04:11,
