Issue Type,Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,TRAFODION-1619,12912518,,Queries with SELECT [FIRST 1] have their scan cache size set too large,suresh_subbiah,suresh_subbiah,Major,Open,,12/Nov/15 16:25,12/Nov/15 16:25,
Improvement,TRAFODION-1576,12909834,,Performance improvement and reducing offline interval for backup,suresh_subbiah,suresh_subbiah,Major,Closed,Fixed,02/Nov/15 23:11,12/Nov/15 03:55,
Bug,TRAFODION-1590,12910800,,"UPSERT into <table> VALUES (<subquery>, ...) fails",suresh_subbiah,suresh_subbiah,Major,Closed,Fixed,05/Nov/15 18:41,12/Nov/15 03:54,
Bug,TRAFODION-1616,12912273,,Index only scan joining with another table may lead to a serial join plan,suresh_subbiah,qfc,Major,Open,,11/Nov/15 19:50,11/Nov/15 21:34,
Improvement,TRAFODION-1578,12909987,,Proposal for SPJ management,,kevinxu021,Major,Open,,03/Nov/15 12:56,10/Nov/15 18:50,
Improvement,TRAFODION-6,12839796,,JDBC T2 has compilation errors when use -D_DEBUG option.,weiqxu,weiqxu,Major,Closed,Fixed,23/Jun/15 09:20,08/Nov/15 04:11,
New Feature,TRAFODION-16,12842325,,OSIM(OptimizerSimulator) for Trafodion rework,howard,howard,Major,Closed,Fixed,02/Jul/15 13:45,08/Nov/15 04:07,
Bug,TRAFODION-1525,12904731,,Locale for JDBCT4 doesn't work,kevinxu021,kevinxu021,Major,Closed,Fixed,14/Oct/15 03:13,08/Nov/15 04:03,
Bug,TRAFODION-1526,12904733,,Incorrect messages for ResultSet cursor before the first row and after the last row,kevinxu021,kevinxu021,Major,Closed,Fixed,14/Oct/15 03:19,08/Nov/15 04:03,
Bug,TRAFODION-1540,12905853,,The host name link cannot be accessed on DCS UI home page while host name is not available,kevinxu021,kevinxu021,Major,Closed,Fixed,19/Oct/15 05:43,08/Nov/15 04:02,
Improvement,TRAFODION-1552,12907015,,DCS start incorrectly while incorrect DNS specified in dcs-site.xml,kevinxu021,kevinxu021,Major,Closed,Fixed,22/Oct/15 08:24,08/Nov/15 04:01,
Improvement,TRAFODION-1561,12907875,,We dont know the default configurations on DCS UI,kevinxu021,kevinxu021,Major,Closed,Fixed,26/Oct/15 10:34,08/Nov/15 04:00,
Bug,TRAFODION-1579,12910084,,Clean up test scripts,,hegdean,Major,Closed,Fixed,03/Nov/15 18:10,06/Nov/15 22:57,
Bug,TRAFODION-1501,12901728,,Packaging trafodion source is missing in build script ,hegdean,hegdean,Major,Closed,Fixed,30/Sep/15 22:34,06/Nov/15 22:56,
Bug,TRAFODION-1512,12903131,,Build infrastructure - install_local_hadoop using incorrect download package,rmarton,rmarton,Major,Closed,Fixed,07/Oct/15 21:05,06/Nov/15 18:02,28/Oct/15 00:00
Improvement,TRAFODION-1551,12906893,,Change version of Trafodion from 1.2.0 to 1.3.0,rmarton,rmarton,Major,Closed,Fixed,21/Oct/15 22:00,06/Nov/15 17:27,23/Oct/15 00:00
Bug,TRAFODION-1569,12909230,,Release package has missing and incorrect files,rmarton,rmarton,Major,Closed,Fixed,30/Oct/15 15:50,06/Nov/15 17:26,
Bug,TRAFODION-1549,12906831,,UDF log reader does not process DCS logs,suresh_subbiah,suresh_subbiah,Major,Closed,Fixed,21/Oct/15 18:35,05/Nov/15 20:27,
Improvement,TRAFODION-1550,12906837,,Bulk load performance can be improved by increasing HBASE_ROWSET_VSBB_SIZE,suresh_subbiah,suresh_subbiah,Major,Closed,Fixed,21/Oct/15 18:44,05/Nov/15 20:25,
Bug,TRAFODION-1587,12910527,,Update of primary key on table with index when set clause has subquery gives wrong result,suresh_subbiah,suresh_subbiah,Major,Open,,04/Nov/15 22:46,04/Nov/15 22:46,
Improvement,TRAFODION-1560,12907566,,Improve script that setups tools needed for Trafodion build,rmarton,rmarton,Major,Closed,Fixed,23/Oct/15 22:24,29/Oct/15 15:59,
Bug,TRAFODION-1529,12905374,,Committers missing from Apache Incubators Project page,rmarton,rmarton,Major,Closed,Fixed,15/Oct/15 23:45,29/Oct/15 15:52,23/Oct/15 00:00
Bug,TRAFODION-1491,12863921,,HIVE TEST009 fails during nightly run,rmarton,rmarton,Major,Closed,Fixed,14/Sep/15 16:17,29/Oct/15 15:51,15/Sep/15 00:00
Bug,TRAFODION-1536,12905612,,Running env.sh from a source tar returns confusing information,rmarton,rmarton,Major,Closed,Fixed,16/Oct/15 18:50,23/Oct/15 19:16,20/Oct/15 00:00
Bug,TRAFODION-1556,12907492,,Update stats runs for hours for hive tables,,qfc,Major,Open,,23/Oct/15 17:51,23/Oct/15 17:51,
Bug,TRAFODION-1513,12903189,,Trafodion build from source tar failing,rmarton,rmarton,Major,Closed,Fixed,07/Oct/15 23:52,16/Oct/15 22:55,09/Oct/15 00:00
New Feature,TRAFODION-1483,12861888,,External tables for Native HBase tables,rmarton,rmarton,Major,Closed,Fixed,04/Sep/15 17:04,16/Oct/15 22:54,07/Sep/15 00:00
Bug,TRAFODION-1488,12862839,,Master exec log files do not have timestamps with the logged events,rmarton,WTsai,Major,Closed,Fixed,09/Sep/15 18:46,16/Oct/15 22:53,
New Feature,TRAFODION-19,12842962,,External tables for HIVE,rmarton,rmarton,Major,Closed,Fixed,06/Jul/15 19:08,16/Oct/15 19:42,
Improvement,TRAFODION-1537,12905624,,Improvements integrating Native tables with Trafodion's view of these tables,,rmarton,Major,Open,,16/Oct/15 19:34,16/Oct/15 19:34,
Bug,TRAFODION-1515,12903620,,MT DCS - Support for multiple resultsets,arvind-narain,arvind-narain,Major,In Progress,,09/Oct/15 05:15,10/Oct/15 04:42,
New Feature,TRAFODION-18,12842922,,Add support for ALTER TABLE <table_name> MODIFY COLUMN <column_name> <new_datatype>,anoopsharma,suresh_subbiah,Major,Closed,Fixed,06/Jul/15 15:53,09/Oct/15 18:05,
Bug,TRAFODION-36,12844866,,showddl does not show delimited names in ON subclause of SALT clause,anoopsharma,anoopsharma,Major,Closed,Fixed,14/Jul/15 04:41,09/Oct/15 18:00,
Bug,TRAFODION-1426,12849420,,null values in columns of referencing table incorrectly cause referential constraint to fail ,anoopsharma,anoopsharma,Major,Closed,Fixed,27/Jul/15 20:31,09/Oct/15 17:59,
Bug,TRAFODION-885,12847803,,LP Bug: 1410355 - Hbase goes down during gate regression tests,joaniec,suresh_subbiah,Major,Closed,Cannot Reproduce,22/Jul/15 18:18,08/Oct/15 05:10,
Bug,TRAFODION-793,12847711,,LP Bug: 1396386 - Incorrect results or error 8442 from hive tables when using query cache and hive data changes,suresh_subbiah,hzeller,Major,Open,,22/Jul/15 18:18,08/Oct/15 04:57,
Sub-task,TRAFODION-1487,12862282,12849619,Hedge read to boost read performances ince HBase 1.0,eowhadi,eowhadi,Major,Open,,07/Sep/15 22:05,08/Oct/15 04:35,
Sub-task,TRAFODION-1486,12862281,12849619,MultiWal for write heavy workload is promissing. available since HBase 1.0,eowhadi,eowhadi,Major,Open,,07/Sep/15 22:02,08/Oct/15 04:35,
Bug,TRAFODION-1496,12895289,,A companion external table for a native HBase table should be dropped when the native table is,qfc,qfc,Major,Open,,21/Sep/15 23:57,08/Oct/15 04:34,
Improvement,TRAFODION-1480,12861571,,Alternative to lscpu to get cores and cpus using info from /proc/cpuinfo,radumarias,radumarias,Major,Closed,Fixed,03/Sep/15 13:40,08/Oct/15 04:33,
Bug,TRAFODION-1432,12851261,,Base table insert/update/delete not allowed while populating an index on the table,suresh_subbiah,hzeller,Major,Open,,04/Aug/15 00:26,08/Oct/15 04:28,
Bug,TRAFODION-1447,12855431,,"Windows ODBC Driver not able to process ""UPSERT"" statement",ryzuo,ryzuo,Major,Closed,Fixed,12/Aug/15 02:44,08/Oct/15 04:27,14/Aug/15 00:00
Sub-task,TRAFODION-1429,12849626,12849619,"enable pread for all scanner, and dedicated scanner with seek/read for compaction",eowhadi,eowhadi,Major,Open,,28/Jul/15 14:21,08/Oct/15 04:25,
Umbrella,TRAFODION-1427,12849619,,List of potential new features in HBase to test and profile performance on.,eowhadi,eowhadi,Major,Open,,28/Jul/15 13:52,08/Oct/15 04:25,
Bug,TRAFODION-691,12847609,,LP Bug: 1380720 - ODBC Linux driver SQLBindCol returns only 32-bit values instead of 64-bit,raokakarlamudi,marvin.anderson,Major,Open,,22/Jul/15 18:17,08/Oct/15 04:25,
Bug,TRAFODION-189,12847106,,LP Bug: 1288501 - ODBC Driver UCS issue when using Python,raokakarlamudi,alchen99,Major,Open,,22/Jul/15 18:14,08/Oct/15 04:25,
Bug,TRAFODION-1270,12848188,,LP Bug: 1464192 - DcsMaster can not restart failed DcsServers,raokakarlamudi,fengqian,Major,Open,,22/Jul/15 18:20,08/Oct/15 04:14,
Bug,TRAFODION-1084,12848002,,LP Bug: 1436488 - load with upsert using load hangs on the test machine,suresh_subbiah,apachetrafodion,Major,Open,,22/Jul/15 18:19,08/Oct/15 04:13,
New Feature,TRAFODION-26,12843965,,Add TM checkAndPut/checkAndDelete methods that handle a list of puts or deletes,oliverb,obucaojit,Major,Open,,09/Jul/15 20:50,07/Oct/15 22:57,
Bug,TRAFODION-23,12843669,,Keyed nested join in TPCH query 2 and 15 disappeared recently,qfc,qfc,Major,Open,,08/Jul/15 22:11,07/Oct/15 22:55,
Bug,TRAFODION-41,12845435,,Update statistics utility is too conservative in allowing in-memory sort operating mode,qfc,qfc,Major,In Progress,,15/Jul/15 23:40,07/Oct/15 22:54,
Improvement,TRAFODION-37,12845183,,"Get ""ROLLBACK WORK"" and ""COMMIT WORK"" transactions be prepared when T2 driver is establishing connection",ryzuo,ryzuo,Major,Open,,15/Jul/15 06:02,07/Oct/15 22:54,
New Feature,TRAFODION-115,12847031,,LP Blueprint: repository-support-mtserver - Query and session metrics repository support in new DCS multi-threaded server,raokakarlamudi,tharakc,Major,Open,,22/Jul/15 18:14,07/Oct/15 22:53,
Bug,TRAFODION-1188,12848106,,LP Bug: 1445680 - trafci crashing when running a query: Call to bronto07.usa.hp.com/15.250.49.13:60020 failed because java.net.SocketTimeoutException,suresh_subbiah,apachetrafodion,Major,Open,,22/Jul/15 18:20,07/Oct/15 22:50,
Bug,TRAFODION-1206,12848124,,"LP Bug: 1448344 - With UTT Linux driver, when execute whole coast regression tests, SQLGetData3.0 test failed",ryzuo,zhangjie,Major,Open,,22/Jul/15 18:20,07/Oct/15 22:44,
Bug,TRAFODION-1482,12861725,,disabling BlockCache for all unbounded scan is not correct for dictionary tables,suresh_subbiah,eowhadi,Major,Closed,Fixed,04/Sep/15 01:07,07/Oct/15 22:38,
Task,TRAFODION-42,12845473,,Import LaunchPad Bugs and fix up the assignee/status/resolution of the imported bugs,,alchen99,Major,Closed,Done,16/Jul/15 03:44,07/Oct/15 20:53,
