Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,ROL-1550,12421301,Atom Feed macro duplicates comments,djohnson,agentgt,Trivial,Closed,Fixed,27/Aug/07 13:59,08/Jan/14 04:22,
Bug,ROL-1478,12421162,Typo in JIRA field descriptions,snoopdave,stevensa,Trivial,Closed,Fixed,16/Jul/07 10:39,02/Jun/13 13:18,
Bug,ROL-1077,12420769,Oracle createdb.sql script has incorrect datatype,roller_unassigned,rubyeyes,Trivial,Closed,Abandoned,08/Mar/06 02:22,07/Jan/13 22:37,
Improvement,ROL-319,12420319,Robust alert system and better help for commentors,mraible,mraible,Trivial,Closed,Abandoned,25/Feb/04 21:29,07/Jan/13 22:34,
Improvement,ROL-847,12420727,Logo on front page is out of sync with rest of site,roller_unassigned,bayard,Trivial,Closed,Won't Fix,17/Oct/05 04:45,06/Jan/13 05:18,
Bug,ROL-1674,12421060,Firefox 3.0b2 causes 500 after saving an entry,mraible,mraible,Trivial,Closed,Abandoned,10/Feb/08 00:33,06/Jan/13 05:17,
Improvement,ROL-948,12420871,deleting unused auto generated blogs,roller_unassigned,chrisphelan,Trivial,Closed,Not A Problem,28/Dec/05 06:03,06/Jan/13 05:15,
Bug,ROL-1023,12420858,Dynamically update hit counts,roller_unassigned,lskrocki,Trivial,Closed,Not A Problem,30/Jan/06 16:51,05/Jan/13 21:13,
Improvement,ROL-337,12420042,Improvements to Twisty Comments,mraible,mraible,Trivial,Closed,Incomplete,11/Apr/04 13:45,05/Jan/13 20:58,
Bug,ROL-1182,12420935,Create weblog page minor improvements - description mispelled and beginning cursor should land on Name field.,agilliland,robcwilson,Trivial,Closed,Fixed,11/Jul/06 15:48,05/Jan/13 20:47,
Improvement,ROL-1122,12421216,Hot blogs: only list blogs if an entry is present w/i the last X days,djohnson,lskrocki,Trivial,Closed,Fixed,02/May/06 15:48,05/Jan/13 20:46,
Bug,ROL-1574,12421224,Typo in Install Guide,roller_unassigned,mraible,Trivial,Closed,Fixed,05/Oct/07 17:22,05/Jan/13 20:43,
