Issue Type,Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,OWB-771,12629590,,Invocation​ContextImpl cleans target field if occurs an exception,,thiago.soares,Trivial,Closed,Fixed,28/Jan/13 21:48,15/Jun/15 07:54,
Bug,OWB-989,12734929,,Clean info issue on Sonar,struberg,danielsoro,Trivial,Closed,Fixed,19/Aug/14 02:25,15/Jun/15 07:54,
Bug,OWB-965,12718558,,Create index to tomcat-sample,struberg,danielsoro,Trivial,Closed,Fixed,05/Jun/14 07:53,19/Apr/15 14:53,
Bug,OWB-694,12603854,,"Misleading exception message ""Wrong termination object""",struberg,hwellmann,Trivial,Closed,Fixed,17/Aug/12 13:06,30/Sep/12 10:06,
Improvement,OWB-637,12536212,,[perf] ELContextStore.destroyDependents() creates unnecessary HashMap$KeyIterator instances,markoc50,markoc50,Trivial,Closed,Fixed,22/Dec/11 20:49,14/Apr/12 07:35,
Improvement,OWB-647,12543399,,"[PERF] Avoid unnecessary StringBuilder instances - improve checkNullInstance, checkScopeType, ... methods",markoc50,markoc50,Trivial,Closed,Fixed,20/Feb/12 20:48,14/Apr/12 07:35,
Improvement,OWB-596,12515058,,"Provide info about injetion point for ""Passivation capable beans must satisfy passivation capable dependencies ...""",markoc50,markoc50,Trivial,Closed,Duplicate,22/Jul/11 19:36,14/Apr/12 07:35,
Improvement,OWB-638,12536833,,[PERF] Avoid unnecessary AbstractList$Itr instances,markoc50,markoc50,Trivial,Closed,Fixed,02/Jan/12 20:19,14/Apr/12 07:34,
Improvement,OWB-209,12444255,,remove all <repositories> from our poms,struberg,struberg,Trivial,Closed,Fixed,28/Dec/09 17:08,15/May/11 16:35,
Improvement,OWB-136,12435734,,fix 'broken' license headers in our java files,struberg,struberg,Trivial,Closed,Fixed,15/Sep/09 17:52,21/Jul/10 11:55,
Improvement,OWB-358,12462478,,provide property to skip injection in @PostConstruct of OpenWebBeansEjbInterceptor,covener,covener,Trivial,Closed,Fixed,19/Apr/10 20:05,02/Jun/10 19:04,
Improvement,OWB-255,12446862,,injection point errors at deployment don't tell you the injection point!,covener,covener,Trivial,Closed,Fixed,27/Jan/10 22:24,16/Mar/10 11:01,
Bug,OWB-232,12445642,,exceptions with non-OWB XML don't contain interceptor/decorator classnames,covener,covener,Trivial,Closed,Fixed,15/Jan/10 16:53,16/Mar/10 11:01,
Bug,OWB-141,12437476,,Conversation.isLongRunning() was removed in favor of Conversation.isTransient(),gerdogdu,tzwoenn,Trivial,Closed,Fixed,07/Oct/09 08:50,16/Mar/10 11:01,
Improvement,OWB-164,12440715,,Consistent logging in WebBeansInterceptorConfig,gerdogdu,tzwoenn,Trivial,Closed,Fixed,14/Nov/09 17:31,15/Nov/09 01:55,
